id,display_name,description,hull,shield,power,weapon_type,thrust,reverse_thrust,rcs_thrust,ammo_type,ammo,capacity,coverage_mass,weapon_display_name,weapon_display_desc,mass,material,grade,grade_color,design_theme,theme_code,themed_name
scrap,SCRAP,파괴된 선체에서 회수할 수 있는 비장착 잔해,1,0,0,none,0,0,0,,,0,0,,,0.45,standard,common,gray,terran_human,TH,TH-CMN-SCRAP
core,CONTROL CORE,함선 제어와 표적 지정을 담당하는 지휘 코어,100,0,2,none,0,0,0,,,0,0,,,2.0,standard,rare,blue,terran_human,TH,TH-RAR-CONTROL-CORE
armor,ARMOR PLATE,피해를 먼저 받는 기본 장갑 블록,18,0,0,none,0,0,0,,,0,0,,,1.8,standard,common,gray,terran_human,TH,TH-CMN-ARMOR-PLATE
thruster,MAIN DRIVE,주 전진 추진기,14,0,-2,none,4750,0,0,,,0,0,,,1.1,standard,uncommon,green,terran_human,TH,TH-UNC-MAIN-DRIVE
reverse_thruster,REVERSE DRIVE,후진과 감속용 보조 추진기,9,0,-1,none,0,220,0,,,0,0,,,0.65,standard,common,gray,terran_human,TH,TH-CMN-REVERSE-DRIVE
rcs_thruster,RCS THRUSTER,회전과 자세 제어용 고출력 미세 추진기,8,0,-1,none,0,0,5400,,,0,0,,,0.5,standard,uncommon,green,terran_human,TH,TH-UNC-RCS-THRUSTER
battery,POWER CELL,무기와 방어막을 위한 전력 저장 장치,10,0,20,none,0,0,0,,,0,0,,,1.0,standard,common,gray,terran_human,TH,TH-CMN-POWER-CELL
laser,LASER ARRAY,에너지 빔을 발사하는 기본 무장,12,0,-3,laser,0,0,0,,,0,0,PULSE LASER,연속 광자 빔으로 장갑을 정밀하게 절단한다.,1.2,standard,rare,blue,protoss_hitec,PR,PR-RAR-LASER-ARRAY
missile_launcher,MISSILE RACK,미사일 탄약을 소비하는 유도탄 발사기,16,0,-2,missile,0,0,0,,,0,0,HUNTER MISSILE,표적의 마지막 위치를 추적하는 중거리 유도탄이다.,1.65,standard,rare,blue,protoss_hitec,PR,PR-RAR-MISSILE-RACK
mini_missile_launcher,AUTO TORPEDO RACK,근거리 표적을 자동 추적하는 유도 어뢰 발사기,11,0,-2,mini_missile,0,0,0,,,0,0,AUTO GUIDED TORPEDO,근거리 표적을 자동 지정하고 잠금 후 급가속하는 소형 유도 어뢰다.,0.9,standard,rare,blue,protoss_hitec,PR,PR-RAR-AUTO-TORPEDO
machine_gun,MACHINE GUN,총알 탄약을 빠르게 소비하는 탄도 무기,13,0,-2,machine_gun,0,0,0,,,0,0,SCATTERGUN,근거리에서 연속 탄환을 투사하는 자동 탄도포다.,1.05,standard,uncommon,green,terran_human,TH,TH-UNC-MACHINE-GUN
railgun,RAILGUN,다수 총알을 소비하는 고위력 탄도 무기,19,0,-4,railgun,0,0,0,,,0,0,RAIL LANCE,고밀도 탄자를 고속으로 가속하는 장거리 관통포다.,1.9,standard,epic,purple,protoss_hitec,PR,PR-EPC-RAILGUN
ammo_bay,MISSILE BAY,미사일 탄약 보관함,24,0,0,none,0,0,0,missile,6,6,0,,,2.2,standard,uncommon,green,terran_human,TH,TH-UNC-MISSILE-BAY
bullet_bay,BULLET BAY,탄도 무기용 총알 보관함,20,0,0,none,0,0,0,bullet,36,36,0,,,1.75,standard,common,gray,terran_human,TH,TH-CMN-BULLET-BAY
shield_generator,SHIELD GENERATOR,질량 범위 내에서 방어막 레이어를 공급하는 발전기,22,1,-3,none,0,0,0,,,0,20,,,1.8,standard,epic,purple,protoss_hitec,PR,PR-EPC-SHIELD-GENERATOR
block,STRUCTURE BLOCK,연결과 방호를 위한 범용 구조 블록,20,0,0,none,0,0,0,,,0,0,,,1.9,standard,common,gray,terran_human,TH,TH-CMN-STRUCTURE-BLOCK
beam2,BEAM 2,두 칸 길이의 경량 구조 빔,34,0,0,none,0,0,0,,,0,0,,,3.35,standard,common,gray,terran_human,TH,TH-CMN-BEAM-2
beam3,BEAM 3,세 칸 길이의 구조 빔,48,0,0,none,0,0,0,,,0,0,,,4.8,reinforced_metal,uncommon,green,terran_human,TH,TH-UNC-BEAM-3
beam4,BEAM 4,네 칸 길이의 고급 금속 장거리 구조 빔,82,0,0,none,0,0,0,,,0,0,,,7.8,advanced_metal,rare,blue,terran_human,TH,TH-RAR-BEAM-4
plate4,PLATE 4,2x2 면적을 덮는 고급 금속 중장갑 파트,98,0,0,none,0,0,0,,,0,0,,,8.8,advanced_metal,legendary,gold,terran_human,TH,TH-LEG-PLATE-4
wedge,WEDGE,한 칸 대각 외형의 삼각 구조 파트,15,0,0,none,0,0,0,,,0,0,,,1.25,standard,uncommon,green,zerg_biological,ZG,ZG-UNC-CARAPACE-WEDGE
wedge_long,LONG WEDGE,두 칸 대각 외형의 긴 삼각 구조 파트,26,0,0,none,0,0,0,,,0,0,,,2.35,standard,rare,blue,zerg_biological,ZG,ZG-RAR-CARAPACE-WEDGE-LONG
